site,cat_ID,year,date_collected,survival,death_date,cocoon_date,pupa_date,emerged_parasite,recorded_death,parasite_species,dissection_order,date_dissected,death_cause,sex,parasite,infection,infection_severity,certainity,cat_weight,stage,fat_body_amount,dried_up,parasite_present,killed,rearing_method,notes,pupated,cocooned,total_parasite,infection_severity.ord,date_collected_day,this_year,last_year,stage.ord
FRP,FRP1_2020,2020,2020-03-01,0,NA,2020-04-14,NA,0,unknown,NA,39,2020-06-23,virus_parasite,m,1,1,m,pretty sure,0.512,larva,l,0,1,0,lab,"NA,NA",0,1,1,m,0,0.058611,0.18822,larva
FRP,FRP2_2020,2020,2020-03-01,0,2020-05-20,2020-05-05,NA,0,unknown,NA,41,2020-06-23,virus,f,0,1,sh,very sure,0.633,larva,h,0,0,0,lab,"NA,NA",0,1,0,sh,0,0.058611,0.18822,larva
FRP,FRP3_2020,2020,2020-03-01,0,NA,2020-03-31,NA,0,unknown,NA,38,2020-06-23,virus,m,0,1,m,very sure,0.641,pupa,h,0,0,0,lab,"NA,failed pupation",0,1,0,m,0,0.058611,0.18822,pupa
FRP,FRP4_2020,2020,2020-03-01,1,NA,NA,2020-04-28,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP5_2020,2020,2020-03-01,0,2020-04-10,NA,NA,0,virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.058611,0.18822,NA
FRP,FRP6_2020,2020,2020-03-01,0,2020-04-14,2020-03-27,NA,0,unknown,NA,36,2020-06-23,virus,NA,0,1,sh,pretty sure,0.354,pupa,NA,0,0,0,lab,"NA,failed pupation",0,1,0,sh,0,0.058611,0.18822,pupa
FRP,FRP7_2020,2020,2020-03-01,0,2020-04-07,NA,NA,0,unknown,NA,37,2020-06-23,NA,NA,NA,1,NA,pretty sure,0.266,larva,NA,1,NA,0,lab,"NA,crappy dried up sample",0,0,NA,NA,0,0.058611,0.18822,larva
FRP,FRP8_2020,2020,2020-03-01,1,NA,2020-04-21,2020-05-08,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP9_2020,2020,2020-03-01,0,2020-04-28,NA,NA,0,unknown,NA,45,2020-06-23,virus,f,0,1,sh,very sure,0.858,larva,h,0,0,0,lab,"NA,NA",0,0,0,sh,0,0.058611,0.18822,larva
FRP,FRP10_2020,2020,2020-03-01,1,NA,NA,2020-05-01,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP11_2020,2020,2020-03-01,0,2020-04-03,NA,NA,0,virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.058611,0.18822,NA
FRP,FRP12_2020,2020,2020-03-01,0,2020-04-14,2020-04-07,NA,0,unknown,NA,44,2020-06-23,NA,NA,NA,1,NA,pretty sure,0.293,larva,NA,1,NA,0,lab,"NA,crappy dried up sample",0,1,NA,NA,0,0.058611,0.18822,larva
FRP,FRP13_2020,2020,2020-03-01,1,NA,2020-03-31,2020-04-07,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP14_2020,2020,2020-03-01,0,NA,2020-04-28,NA,0,unknown,NA,43,2020-06-23,virus,m,0,1,sh,very sure,0.835,larva,m,0,0,0,lab,"NA,NA",0,1,0,sh,0,0.058611,0.18822,larva
FRP,FRP15_2020,2020,2020-03-01,0,NA,2020-04-28,NA,1,parasite,NA,40,2020-06-23,NA,NA,NA,1,NA,pretty sure,0.342,larva,NA,1,1,0,lab,"NA,crappy dried up sample",0,1,NA,NA,0,0.058611,0.18822,larva
FRP,FRP16_2020,2020,2020-03-01,1,NA,2020-04-10,2020-04-14,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP17_2020,2020,2020-03-01,1,NA,NA,2020-04-14,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP18_2020,2020,2020-03-01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.058611,0.18822,NA
FRP,FRP19_2020,2020,2020-03-01,1,NA,NA,2020-03-20,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP20_2020,2020,2020-03-01,0,2020-05-01,2020-04-25,NA,0,unknown,NA,42,2020-06-23,virus,f,0,1,h,pretty sure,0.96,larva,h,0,0,0,lab,"NA,NA",0,1,0,h,0,0.058611,0.18822,larva
FRP,FRP21_2020,2020,2020-03-01,0,NA,2020-04-18,NA,0,unknown,NA,46,2020-06-23,virus,f,0,1,h,pretty sure,0.51,larva,m,0,0,0,lab,"NA,NA",0,1,0,h,0,0.058611,0.18822,larva
FRP,FRP23_2020,2020,2020-03-01,1,NA,2020-04-04,2020-04-25,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP24_2020,2020,2020-03-01,1,NA,2020-04-18,2020-04-25,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP25_2020,2020,2020-03-01,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.058611,0.18822,NA
FRP,FRP26_2020,2020,2020-03-01,1,NA,2020-04-07,2020-04-14,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP27_2020,2020,2020-03-01,1,NA,NA,2020-04-14,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP28_2020,2020,2020-03-01,1,NA,2020-04-18,2020-04-25,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
FRP,FRP29_2020,2020,2020-03-01,0,2020-03-27,NA,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.058611,0.18822,NA
FRP,FRP30_2020,2020,2020-03-01,1,NA,NA,2020-03-20,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.058611,0.18822,NA
PDM,PDM2_2020,2020,2020-03-01,1,NA,2020-04-03,2020-04-10,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM3_2020,2020,2020-03-01,0,2020-04-21,NA,NA,0,virus,NA,4,2020-06-10,virus,f,0,1,sh,very sure,0.823,larva,h,0,0,0,lab,"NA,NA",0,0,0,sh,0,0.022985,0.075522,larva
PDM,PDM4_2020,2020,2020-03-01,0,2020-03-20,NA,NA,0,unknown,NA,128,2020-07-02,unknown,NA,0,0,uninfected,pretty sure,0.38,larva,l,0,0,0,lab,"NA,crappy sample",0,0,0,uninfected,0,0.022985,0.075522,larva
PDM,PDM5_2020,2020,2020-03-01,1,NA,2020-03-24,2020-04-03,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM7_2020,2020,2020-03-01,0,2020-03-27,NA,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.022985,0.075522,NA
PDM,PDM8_2020,2020,2020-03-01,0,2020-04-25,NA,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.022985,0.075522,NA
PDM,PDM9_2020,2020,2020-03-01,1,NA,2020-03-27,2020-04-07,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM10_2020,2020,2020-03-01,0,2020-04-25,2020-04-07,NA,0,unknown,NA,3,2020-06-10,virus,m,0,1,sh,very sure,0.38,pupa,h,0,0,0,lab,"NA,evidence of failed pupation",0,1,0,sh,0,0.022985,0.075522,pupa
PDM,PDM11_2020,2020,2020-03-01,0,2020-04-21,NA,NA,0,unknown,NA,1,2020-06-10,virus,m,0,1,sh,very sure,0.43,larva,h,0,0,0,lab,"NA,NA",0,0,0,sh,0,0.022985,0.075522,larva
PDM,PDM12_2020,2020,2020-03-01,0,2020-04-03,2020-03-31,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM13_2020,2020,2020-03-01,1,NA,NA,2020-04-14,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM15_2020,2020,2020-03-01,0,2020-05-01,NA,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,0,0.022985,0.075522,NA
PDM,PDM16_2020,2020,2020-03-01,1,NA,NA,2020-03-20,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM17_2020,2020,2020-03-01,1,NA,2020-03-27,2020-04-03,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM18_2020,2020,2020-03-01,0,2020-04-25,2020-04-27,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,1,NA,NA,0,0.022985,0.075522,NA
PDM,PDM20_2020,2020,2020-03-01,0,2020-04-14,2020-04-07,NA,0,unknown,NA,2,2020-06-10,virus,NA,0,1,sh,very sure,0.259,larva,NA,1,0,0,lab,"NA,dried up sample",0,1,0,sh,0,0.022985,0.075522,larva
GGT,GGT1_2020,2020,2020-03-13,0,2020-05-22,NA,NA,0,unknown,NA,60,2020-06-23,virus,f,0,1,h,very sure,1.137,larva,h,0,0,0,lab,"NA,NA",0,0,0,h,12,0.068001,0.036357,larva
GGT,GGT2_2020,2020,2020-03-13,0,2020-04-18,NA,NA,0,unknown,NA,53,2020-06-23,virus,f,0,1,sh,maybe,0.701,larva,l,0,0,0,lab,"NA,NA",0,0,0,sh,12,0.068001,0.036357,larva
GGT,GGT3_2020,2020,2020-03-13,0,2020-04-10,NA,NA,0,unknown,NA,56,2020-06-23,parasite,f,0,0,uninfected,maybe,0.412,larva,l,0,1,0,lab,"NA,evidence of parasite",0,0,0,uninfected,12,0.068001,0.036357,larva
GGT,GGT4_2020,2020,2020-03-13,1,NA,2020-04-14,2020-04-21,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT5_2020,2020,2020-03-13,0,2020-03-27,NA,NA,2,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,0,NA,NA,12,0.068001,0.036357,NA
GGT,GGT6_2020,2020,2020-03-13,0,2020-04-18,2020-04-10,NA,0,unknown,NA,54,2020-06-23,NA,NA,NA,1,NA,maybe,0.475,larva,NA,1,NA,0,lab,"NA,crappy dried up sample",0,1,NA,NA,12,0.068001,0.036357,larva
GGT,GGT8_2020,2020,2020-03-13,0,NA,2020-04-24,NA,1,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT9_2020,2020,2020-03-13,1,NA,2020-04-07,2020-04-14,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT10_2020,2020,2020-03-13,0,2020-04-18,NA,NA,0,unknown,NA,55,2020-06-23,virus_parasite,f,2,1,m,very sure,0.381,larva,l,0,1,0,lab,"NA,NA",0,0,2,m,12,0.068001,0.036357,larva
GGT,GGT11_2020,2020,2020-03-13,0,2020-04-10,NA,NA,0,virus,NA,58,2020-06-23,virus_parasite,f,0,1,l,pretty sure,0.741,larva,l,0,1,0,lab,"NA,evidence of parasite",0,0,0,l,12,0.068001,0.036357,larva
GGT,GGT12_2020,2020,2020-03-13,0,2020-04-10,NA,NA,0,unknown,NA,130,2020-07-02,unknown,f,0,0,uninfected,maybe,0.41,larva,m,0,0,0,lab,"NA,NA",0,0,0,uninfected,12,0.068001,0.036357,larva
GGT,GGT13_2020,2020,2020-03-13,1,NA,NA,2020-04-25,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT14_2020,2020,2020-03-13,1,NA,2020-04-18,2020-05-01,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT15_2020,2020,2020-03-13,0,2020-04-07,NA,NA,0,unknown,NA,52,2020-06-23,virus,m,0,1,h,pretty sure,0.449,larva,m,0,0,0,lab,"NA,NA",0,0,0,h,12,0.068001,0.036357,larva
GGT,GGT16_2020,2020,2020-03-13,0,2020-03-24,NA,NA,0,unknown,NA,48,2020-06-23,virus,m,0,1,m,pretty sure,0.331,larva,l,0,0,0,lab,"NA,NA",0,0,0,m,12,0.068001,0.036357,larva
GGT,GGT17_2020,2020,2020-03-13,1,NA,NA,NA,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT18_2020,2020,2020-03-13,0,NA,2020-05-01,NA,1,parasite,NA,49,2020-06-23,virus,f,0,1,sh,very sure,0.816,larva,h,0,1,0,lab,"NA,NA",0,1,1,sh,12,0.068001,0.036357,larva
GGT,GGT20_2020,2020,2020-03-13,1,NA,2020-03-20,2020-04-03,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT21_2020,2020,2020-03-13,0,2020-04-10,NA,NA,1,parasite,hair worm,51,2020-06-23,parasite,f,0,0,uninfected,maybe,0.336,larva,l,0,0,0,lab,"NA,hairworm x1",0,0,1,uninfected,12,0.068001,0.036357,larva
GGT,GGT22_2020,2020,2020-03-13,0,2020-03-27,NA,NA,0,unknown,NA,47,2020-06-23,NA,NA,0,1,NA,maybe,0.511,larva,l,1,0,0,lab,"NA,crappy dried up sample",0,0,0,NA,12,0.068001,0.036357,larva
GGT,GGT23_2020,2020,2020-03-13,1,NA,2020-03-24,2020-03-27,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT24_2020,2020,2020-03-13,0,NA,2020-04-03,NA,1,parasite,braconid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT25_2020,2020,2020-03-13,1,NA,2020-04-21,2020-04-28,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT26_2020,2020,2020-03-13,0,2020-04-03,2020-03-31,NA,2,parasite,NA,57,2020-06-23,virus_parasite,f,0,1,h,maybe,0.834,larva,m,0,1,0,lab,"NA,NA",0,1,2,h,12,0.068001,0.036357,larva
GGT,GGT27_2020,2020,2020-03-13,0,2020-04-18,NA,NA,0,unknown,NA,59,2020-06-23,virus,f,0,1,h,pretty sure,0.822,larva,m,0,0,0,lab,"NA,NA",0,0,0,h,12,0.068001,0.036357,larva
GGT,GGT28_2020,2020,2020-03-13,1,NA,NA,2020-04-28,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.068001,0.036357,NA
GGT,GGT29_2020,2020,2020-03-13,0,2020-04-25,NA,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,0,NA,NA,12,0.068001,0.036357,NA
GGT,GGT30_2020,2020,2020-03-13,0,2020-04-14,2020-04-13,NA,0,unknown,NA,50,2020-06-23,NA,NA,NA,1,NA,pretty sure,0.293,larva,NA,1,NA,0,lab,"NA,crappy dried up sample",0,1,NA,NA,12,0.068001,0.036357,larva
PRS,PRS1_2020,2020,2020-03-13,0,2020-04-25,NA,NA,6,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,0,NA,NA,12,0.030044,0.010925,NA
PRS,PRS2_2020,2020,2020-03-13,0,NA,2020-04-14,NA,2,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,1,NA,NA,12,0.030044,0.010925,NA
PRS,PRS3_2020,2020,2020-03-13,0,2020-04-18,NA,NA,0,unknown,NA,67,2020-06-23,virus,f,0,1,sh,very sure,0.954,larva,h,0,0,0,lab,"NA,NA",0,0,0,sh,12,0.030044,0.010925,larva
PRS,PRS4_2020,2020,2020-03-13,0,2020-03-20,NA,NA,4,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,0,NA,NA,12,0.030044,0.010925,NA
PRS,PRS5_2020,2020,2020-03-13,0,2020-05-01,NA,NA,0,unknown,NA,73,2020-06-23,NA,NA,NA,1,NA,NA,0.097,larva,NA,1,NA,0,lab,"NA,crappy dried up sample",0,0,NA,NA,12,0.030044,0.010925,larva
PRS,PRS6_2020,2020,2020-03-13,0,2020-05-09,NA,NA,0,unknown,NA,69,2020-06-23,virus,f,0,1,sh,pretty sure,0.629,larva,m,0,0,0,lab,"NA,NA",0,0,0,sh,12,0.030044,0.010925,larva
PRS,PRS7_2020,2020,2020-03-13,0,NA,2020-05-01,NA,0,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lab,"NA,NA",0,1,NA,NA,12,0.030044,0.010925,NA
PRS,PRS8_2020,2020,2020-03-13,0,2020-04-18,NA,NA,0,unknown,NA,74,2020-06-23,parasite,f,0,0,uninfected,pretty sure,0.734,larva,l,0,0,0,lab,"NA,evidence of parasite",0,0,0,uninfected,12,0.030044,0.010925,larva
PRS,PRS9_2020,2020,2020-03-13,0,2020-03-27,NA,NA,1,parasite,NA,70,2020-06-23,parasite,f,4,1,l,pretty sure,0.737,larva,m,0,1,0,lab,"NA,NA",0,0,5,l,12,0.030044,0.010925,larva
PRS,PRS10_2020,2020,2020-03-13,1,NA,2020-04-21,2020-04-28,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.030044,0.010925,NA
PRS,PRS11_2020,2020,2020-03-13,0,NA,2020-04-07,NA,10,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,1,NA,NA,12,0.030044,0.010925,NA
PRS,PRS12_2020,2020,2020-03-13,0,NA,NA,NA,3,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,0,NA,NA,12,0.030044,0.010925,NA
PRS,PRS13_2020,2020,2020-03-13,0,NA,2020-04-20,NA,3,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,1,NA,NA,12,0.030044,0.010925,NA
PRS,PRS14_2020,2020,2020-03-13,0,NA,NA,NA,4,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,0,NA,NA,12,0.030044,0.010925,NA
PRS,PRS15_2020,2020,2020-03-13,0,2020-04-10,NA,NA,5,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,0,NA,NA,12,0.030044,0.010925,NA
PRK,PRK1_2020,2020,2020-03-13,0,NA,NA,NA,1,parasite,NA,71,2020-06-23,NA,NA,NA,1,NA,NA,0.246,larva,NA,1,1,0,lab,"NA,crappy dried up sample",0,0,NA,NA,12,0.004493,0.020219,larva
PRK,PRK2_2020,2020,2020-03-13,0,NA,2020-05-01,NA,1,parasite,NA,72,2020-06-23,virus,f,0,1,sh,pretty sure,0.595,larva,h,0,1,0,lab,"NA,NA",0,1,1,sh,12,0.004493,0.020219,larva
PRN,PRN1_2020,2020,2020-03-13,0,2020-05-01,NA,NA,0,unknown,NA,26,2020-06-14,virus,f,0,1,sh,very sure,1.353,larva,m,0,0,0,lab,"NA,NA",0,0,0,sh,12,0.145535,0.024256,larva
PRN,PRN2_2020,2020,2020-03-13,0,2020-05-01,NA,NA,1,parasite,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,lab,"NA,NA",0,0,NA,NA,12,0.145535,0.024256,NA
PRN,PRN3_2020,2020,2020-03-13,1,NA,2020-04-28,2020-05-08,0,survived,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,lab,"NA,NA",1,1,NA,NA,12,0.145535,0.024256,NA
