site,this_year,last_year,moth_count,pupa_count,corrected_moth_count,corrected_pupa_count,total_reared,infection_m,infection_n,parasite_m,parasite_n,emerged_parasite_m,emerged_parasite_n,cocooned_m,cocooned_n,pupated_m,pupated_n,date_collected,date_dissected_m,date_pupated_m,date_cocooned_m,date_death_m,date_death_n,sex_ratio_dissected,sex_ratio_dissected_n,num_nat_strict,num_nat_loose,infection2_m,infection3_m,infection2_n,infection3_n
BCR,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BFT,0,0.933676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BMR,0.737981,4.108579,1,2,2,2,16,1,12,0,9,0.25,16,0.4375,16,0.25,16,2020-03-25,2020-06-24,2020-05-08,2020-05-03,2020-05-11,9,0.1111111111111111,9,0,1,0.8333333333333334,0.5833333333333334,8,8
CHA,0.118349,0.436494,2,4,4,4,12,0.9,10,0,2,0,12,0.75,12,0.6666666666666666,12,2020-04-11,2020-07-09,2020-05-22,2020-05-13,2020-05-12,4,0.4,5,0,2,0.75,0.625,10,10
FRP,0.058611,0.18822,6,7,6,7,29,1,23,0.125,8,0.034482758620689655,29,0.7586206896551724,29,0.4482758620689655,29,2020-03-01,2020-07-07,2020-04-16,2020-04-14,2020-04-17,9,0.5,14,0,6,0.9,0.7,21,21
FVW,0.099109,3.776573,1,1,2,1,20,0.9411764705882353,17,0,14,0.1,20,0.25,20,0.15,20,2020-04-11,2020-06-29,2020-05-25,2020-05-20,2020-05-12,14,0.4666666666666667,15,0,0,0.9411764705882353,0.8823529411764706,7,7
FWF,0.026527,0.029843,2,5,2,5,11,1,9,0,2,0,10,0.7272727272727273,11,0.6363636363636364,11,2020-04-10,2020-07-12,2020-05-15,2020-05-06,2020-05-01,1,0.5,4,0,1,1,0.8888888888888888,9,9
GGT,0.068001,0.036357,7,2,7,2,28,0.75,24,0.15384615384615385,13,0.2857142857142857,28,0.5357142857142857,28,0.32142857142857145,28,2020-03-13,2020-07-03,2020-04-18,2020-04-10,2020-04-12,16,0.3684210526315789,19,3,6,0.5714285714285714,0.47619047619047616,16,16
GRO,0.334536,0.426584,1,6,1,6,30,0.92,25,0.058823529411764705,17,0.3,30,0.43333333333333335,30,0.23333333333333334,30,2020-04-11,2020-07-03,2020-05-13,2020-05-08,2020-05-13,19,0.35294117647058826,17,0,1,0.875,0.75,13,13
HOS,0.083516,0.164423,16,2,16,2,20,0.95,20,0,1,0,20,0.95,20,0.9,20,2020-04-10,2020-07-18,2020-05-12,2020-05-07,NA,0,0.631578947368421,19,1,12,0.631578947368421,0.47368421052631576,19,19
LAM,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LOY,0.015544,0.150259,1,1,1,1,6,1,6,0,4,0,6,0.3333333333333333,6,0.3333333333333333,6,2020-05-30,2020-07-14,2020-06-14,2020-06-08,2020-06-22,4,0.4,5,0,0,1,0.8333333333333334,2,2
LWC,0,0.009859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MSP,0.055753,0.074337,0,1,0,1,6,0.8571428571428571,7,2.3333333333333335,6,0,6,0.16666666666666666,6,0.16666666666666666,6,2020-03-25,2020-06-19,2020-05-08,2020-05-01,2020-04-17,5,0.3333333333333333,6,0,0,0.7142857142857143,0.5714285714285714,2,2
NSQ,0,0.007458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PDM,0.022985,0.075522,3,1,5,1,16,0.8888888888888888,9,0,5,0,16,0.625,16,0.375,16,2020-03-01,2020-06-30,2020-04-04,2020-04-03,2020-04-15,10,0.5714285714285714,7,0,3,0.7777777777777778,0.6666666666666666,11,11
POB,0.106765,0.298943,1,7,1,7,33,0.9259259259259259,27,0,18,0.46875,32,0.3333333333333333,33,0.24242424242424243,33,2020-04-11,2020-07-04,2020-05-27,2020-05-21,2020-05-19,21,0.3684210526315789,19,0,1,0.8846153846153846,0.8461538461538461,15,15
PRA,NA,0.01297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRK,0.004493,0.020219,0,0,0,0,2,1,2,0,1,1,2,0.5,2,0,2,2020-03-13,2020-06-23,NA,2020-05-01,NA,0,0,1,0,0,1,1,1,1
PRN,0.145535,0.024256,3,3,3,3,29,0.8888888888888888,18,0.3333333333333333,12,1,29,0.3793103448275862,29,0.20689655172413793,29,2020-03-13,2020-07-02,2020-05-02,2020-04-16,2020-04-16,17,0.4,15,0,1,0.8333333333333334,0.6111111111111112,17,17
PRS,0.030044,0.010925,0,0,0,0,15,0.8,5,1,4,2.533333333333333,15,0.3333333333333333,15,0.06666666666666667,15,2020-03-13,2020-06-23,2020-04-28,2020-04-18,2020-04-15,8,0,4,0,0,0.5,0.5,11,11
RKP,0,0.933676,0,0,0,0,2,0,1,0,1,0.5,2,0,2,0,2,2020-04-11,2020-06-23,NA,NA,2020-04-25,2,0,1,0,0,0,0,1,1
SHP,0.011762,0.035285,0,0,0,0,1,NaN,0,NaN,0,0,1,0,1,0,1,2020-04-11,NA,NA,NA,2020-04-25,1,NaN,0,0,0,NaN,NaN,1,1
SRD,0,0.230557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WAC,NA,9.33e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WIL,NA,0.045455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YRK,0.064362,0.079109,3,3,3,3,11,1,10,0,4,0.18181818181818182,11,0.8181818181818182,11,0.5454545454545454,11,2020-04-13,2020-07-04,2020-05-08,2020-05-03,2020-05-19,4,0.2857142857142857,7,0,3,0.8,0.6,7,7
