site,this_year,last_year,collection_date,notes,x.coord,y.coord,temp30,precip30,temp0,temp90,precip90,temp180,precip180,temp360,precip360,insolation30,insolation90,insolation180,insolation360,insolation360to180,insolation360to270,insolation270to180,insolation360to90,edd360to180,uvi360to180,collection_juliandates
BMR,0.737980567,4.108579108,2020-03-27,only main transect,-123.0582017,38.31865645,11.25483870967742,30.09,NA,10.843956043956045,131.38,11.825414364640883,379.31,13.32770083102493,531.22,16.756129032258066,12.693516483516483,11.76011049723757,17.672653631284916,23.681685393258427,23.143444444444444,24.29449438202247,19.33205223880597,4295.8013662832755,7.837405406104194,86
CHA,0.118349358,0.436494367,2020-04-11,all transects,-123.2022486,44.07223022,7.767741935483871,81.09,NA,6.897802197802198,290.48,6.848066298342541,546.63,11.74792243767313,825.84,15.389354838709677,10.501978021978022,8.12513812154696,14.44,20.859662921348313,22.99388888888889,18.734606741573035,15.736679104477611,3545.833781683623,6.322374583180271,101
FRP,0.058610794,0.188219991,2020-03-01,all transects,-122.3544907,37.15573988,8.448387096774194,0,NA,9.702197802197801,228.05,11.179558011049723,287.29,11.996952908587257,470.34,14.241612903225807,9.827692307692308,12.459664804469273,17.407067039106146,22.35861111111111,20.077472527472526,24.731333333333332,19.927611940298508,4180.895497239481,7.686076333203654,60
FVW,0.09910895854358,3.77657294660798,2020-04-11,only main transect,-123.0018538,44.89505452,7.612903225806452,87.5,NA,6.693406593406594,307.6,6.767955801104972,606.36,11.677285318559557,802.02,15.389354838709677,10.501978021978022,8.12513812154696,14.44,20.859662921348313,22.99388888888889,18.734606741573035,15.736679104477611,3545.833781683623,6.322374583180271,101
FWF,0.026526963,0.029842834,2020-04-10,all transects,-124.0932657,40.7862946,8.229032258064516,123.14,NA,8.502197802197802,314.02,9.218232044198896,674.97,11.649030470914127,841,17.03548387096774,12.651428571428571,10.323480662983425,16.58687150837989,22.953988764044944,24.16411111111111,21.793033707865167,17.890074626865673,4141.479216120793,7.508349625880901,100
GGT,0.068001035,0.036357389,2020-03-13,all transects,-122.5509876,37.84350995,12.970967741935484,5.6,NA,11.260439560439561,155.01,12.754696132596685,322.86,13.624653739612189,483.57,14.833870967741936,11.146483516483517,12.065222222222221,17.314217877094972,22.621061452513967,21.104555555555557,24.168444444444443,19.379701492537315,4242.351140540416,7.791428781869843,72
GRO,0.334535757,0.426583888,2020-04-11,all transects,-122.7998207,45.29958272,8.183870967741935,69.3,NA,7.2263736263736265,302.46,7.32707182320442,608.37,12.18393351800554,807.94,14.970645161290323,9.825494505494506,7.549281767955801,13.573631284916202,19.701685393258426,21.711333333333332,17.70955056179775,14.807126865671641,3329.045412048813,5.913866328638654,101
HOS,0.083516162865985,0.164422831390219,2020-04-10,Main 2 transects,-124.2102175,40.67064187,8.141935483870968,128.10999999999999,NA,8.306593406593407,307.62,9.050828729281768,665.26,11.534626038781164,808.07,17.03548387096774,12.651428571428571,10.323480662983425,16.58687150837989,22.953988764044944,24.16411111111111,21.793033707865167,17.890074626865673,4141.479216120793,7.508349625880901,100
LOY,0.015544041450777,0.150259067357513,2020-05-30,only main transect,-120.3,39.7,12.022580645161291,35.87,NA,7.464835164835165,129.74,4.582872928176796,241.63,8.626315789473685,316.89,24.954193548387096,20.11021978021978,14.912651933701657,18.356033519553073,21.781797752808988,28.537111111111113,14.985056179775281,17.728955223880597,3970.2372582753496,7.397782866160075,150
MSP,0.055752836846995,0.074337115795994,2020-03-27,only main transect- one with cats last two years,-123.716039,38.95908952,10.138709677419355,39.11,NA,10.302197802197803,209.43,10.777900552486187,439.05,11.701939058171746,636.1,16.756129032258066,12.693516483516483,11.76011049723757,17.672653631284916,23.681685393258427,23.143444444444444,24.29449438202247,19.33205223880597,4295.8013662832755,7.837405406104194,86
PDM,0.022985099231677,0.075522468904081,2020-03-01,only main transect,-122.4068333,37.26492123,8.470967741935484,0,NA,9.731868131868131,187.48,11.269060773480662,240.93,12.237119113573407,430.86,14.241612903225807,9.827692307692308,12.459664804469273,17.407067039106146,22.35861111111111,20.077472527472526,24.731333333333332,19.927611940298508,4180.895497239481,7.686076333203654,60
POB,0.106765308324816,0.298942863309486,2020-04-11,only main transect,-122.4997435,45.48817676,7.929032258064516,84.72,NA,6.97032967032967,339.29,7.117127071823204,641.01,12.223268698060942,889.96,14.970645161290323,9.825494505494506,7.549281767955801,13.573631284916202,19.701685393258426,21.711333333333332,17.70955056179775,14.807126865671641,3329.045412048813,5.913866328638654,101
PRK,0.004493015,0.020218567,2020-03-13,all transects,-122.9423906,38.1533032,11.316129032258065,4.78,NA,10.435164835164835,148.7,11.761878453038674,323.46999999999997,12.426869806094183,532.49,15.581612903225807,11.153406593406594,12.24461111111111,18.694022346368715,25.201396648044692,22.80177777777778,27.655444444444445,21.21742537313433,4453.842712868261,8.08253490469838,72
PRN,0.145535113190016,0.024255852198336,2020-03-13,only main transect,-122.9690001,38.08752959,11.264516129032257,5.15,NA,10.430769230769231,161.98,11.79889502762431,344.57,12.714681440443213,551.8,15.581612903225807,11.153406593406594,12.24461111111111,18.694022346368715,25.201396648044692,22.80177777777778,27.655444444444445,21.21742537313433,4453.842712868261,8.08253490469838,72
PRS,0.010925177362408,0.030044237746623,2020-03-13,only main transect,-122.9882154,38.0380303,10.667741935483871,5.65,NA,10.154945054945054,175.85999999999999,11.474585635359116,369.75,12.095290858725761,590.24,15.581612903225807,11.153406593406594,12.24461111111111,18.694022346368715,25.201396648044692,22.80177777777778,27.655444444444445,21.21742537313433,4453.842712868261,8.08253490469838,72
SHP,0.011761565,0.035284694,2020-04-11,all transects,-122.4468681,45.53108789,8.141935483870968,75.75,NA,7.0989010989010985,330.32,7.297790055248619,627.38,12.272853185595569,873.31,14.970645161290323,9.825494505494506,7.549281767955801,13.573631284916202,19.701685393258426,21.711333333333332,17.70955056179775,14.807126865671641,3329.045412048813,5.913866328638654,101
YRK,0.064362,0.079109001,2020-04-10,all transects,-122.6048105,41.82980339,6.506451612903226,8.81,NA,5.485714285714286,92.38,5.951381215469613,186.94,12.129639889196676,286.53,16.281935483870967,12.676593406593406,10.638066298342542,17.653016759776538,24.780393258426965,26.689333333333334,22.87067415730337,19.303283582089552,4357.394790531129,7.842375643493593,100
RKP,0.025618888980404,0.730138335941509,2020-04-12,all transects,-122.873195526548,46.8872127635015,6.303225806451613,77.51,NA,5.650549450549451,402.19,5.879558011049724,944.98,10.568698060941829,1140.8,14.524516129032257,9.361648351648352,6.988397790055249,12.58717877094972,18.235898876404494,20.00411111111111,16.34179775280899,13.644253731343284,3105.8845720134796,5.488475572378909,102
